Time(sentisec);X_A(m);Y_A(m);X_L(m);Y_L(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_F(m);Y_F(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_K(m);Y_K(m)
1779880.0;9092.4037;14024.4608;9088.13;14025.8673;9093.6915;14022.1069;9090.7579;14024.6627;9084.2273;14042.5062;9093.1647;14022.3018;9091.4154;14023.7011;9094.05;14022.3111;9094.1868;14021.6538;9091.8548;14022.1258
1779900.0;9092.4214;14024.4964;9088.0914;14025.8586;9093.6045;14022.265;9090.7649;14024.7312;9084.3348;14042.2697;9093.169;14022.3362;9091.4458;14023.6663;9094.05;14022.3101;9094.106;14021.7645;9091.879;14022.0801
1779920.0;9092.4317;14024.5388;9088.0622;14025.8694;9093.567;14022.3846;9090.7935;14024.7845;9084.4502;14042.0224;9093.157;14022.4025;9091.4752;14023.6387;9094.0499;14022.3068;9094.0073;14021.8857;9091.8999;14022.033
1779940.0;9092.4285;14024.5937;9088.046;14025.8896;9093.5771;14022.459;9090.8325;14024.829;9084.5627;14041.7887;9093.1357;14022.4813;9091.5011;14023.6215;9094.0492;14022.2983;9093.9025;14022.0129;9091.9173;14021.9843
1779960.0;9092.4078;14024.6598;9088.0415;14025.9088;9093.6171;14022.4923;9090.8781;14024.8633;9084.6652;14041.5841;9093.11;14022.5569;9091.5212;14023.613;9094.047;14022.2811;9093.8016;14022.141;9091.9349;14021.9319
1779980.0;9092.3699;14024.7347;9088.0451;14025.9208;9093.6694;14022.4914;9090.9317;14024.8845;9084.7556;14041.4123;9093.0845;14022.6225;9091.5352;14023.6097;9094.0412;14022.2535;9093.7127;14022.2608;9091.9565;14021.8699
1780000.0;9092.3189;14024.8173;9088.052;14025.9287;9093.7273;14022.4659;9090.9979;14024.8911;9084.8342;14041.2723;9093.0619;14022.679;9091.5467;14023.6087;9094.0295;14022.2187;9093.6425;14022.3595;9091.9831;14021.7919
1780020.0;9092.2607;14024.9056;9088.0581;14025.9411;9093.7922;14022.4302;9091.0807;14024.8825;9084.9012;14041.1637;9093.041;14022.7326;9091.5608;14023.6085;9094.0109;14022.1839;9093.5946;14022.4311;9092.0133;14021.6976
1780040.0;9092.1993;14024.9947;9088.0636;14025.9623;9093.8643;14022.3975;9091.1792;14024.8566;9084.9568;14041.0842;9093.0166;14022.7889;9091.5808;14023.6085;9093.9872;14022.1565;9093.5664;14022.4816;9092.0461;14021.5963
1780060.0;9092.1369;14025.0805;9088.073;14025.9896;9093.9383;14022.3724;9091.2886;14024.812;9085.0056;14041.0223;9092.9841;14022.8501;9091.6068;14023.6085;9093.9629;14022.1403;9093.5502;14022.5343;9092.0836;14021.5017
1780080.0;9092.0744;14025.165;9088.0917;14026.019;9094.0052;14022.3527;9091.4046;14024.7515;9085.0567;14040.9588;9092.9429;14022.9134;9091.6361;14023.6085;9093.942;14022.1351;9093.5336;14022.6263;9092.1291;14021.424
1780100.0;9092.0134;14025.2535;9088.1212;14026.0502;9094.0595;14022.3367;9091.5279;14024.6843;9085.1185;14040.8797;9092.8978;14022.9744;9091.6666;14023.6081;9093.9246;14022.1403;9093.502;14022.7958;9092.1851;14021.3662
1780120.0;9091.9565;14025.3479;9088.1602;14026.0825;9094.1039;14022.3258;9091.6638;14024.6223;9085.1906;14040.789;9092.8552;14023.0326;9091.6976;14023.606;9093.9072;14022.1565;9093.4401;14023.0577;9092.2515;14021.3274
1780140.0;9091.9095;14025.442;9088.207;14026.1091;9094.1463;14022.3238;9091.8158;14024.5791;9085.2616;14040.7094;9092.8205;14023.0928;9091.7292;14023.5994;9093.8863;14022.1839;9093.3388;14023.3831;9092.3248;14021.3058
1780160.0;9091.8808;14025.5241;9088.2621;14026.1197;9094.1952;14022.3332;9091.9773;14024.5657;9085.3165;14040.6663;9092.796;14023.1606;9091.7607;14023.5824;9093.8619;14022.2187;9093.2022;14023.7091;9092.3985;14021.2969
1780180.0;9091.8764;14025.5846;9088.3274;14026.1099;9094.256;14022.3562;9092.1328;14024.5857;9085.3483;14040.6684;9092.7832;14023.2338;9091.7919;14023.5481;9093.8375;14022.2535;9093.0486;14023.9771;9092.4647;14021.2941
1780200.0;9091.8937;14025.6223;9088.4039;14026.0865;9094.329;14022.3901;9092.2671;14024.6295;9085.3621;14040.7031;9092.7847;14023.3001;9091.823;14023.494;9093.8166;14022.2811;9092.9009;14024.1664;9092.5178;14021.2922
1780220.0;9091.9193;14025.6448;9088.4915;14026.0639;9094.409;14022.4234;9092.3748;14024.6762;9085.3704;14040.7454;9092.8021;14023.3431;9091.8546;14023.4277;9093.7991;14022.2983;9092.7752;14024.2946;9092.5564;14021.2903
1780240.0;9091.9378;14025.6638;9088.5886;14026.0551;9094.4859;14022.4372;9092.4607;14024.7061;9085.384;14040.7728;9092.8319;14023.3535;9091.8862;14023.3666;9093.7817;14022.3068;9092.6743;14024.3931;9092.5804;14021.2881
1780260.0;9091.9417;14025.6903;9088.6936;14026.0659;9094.5499;14022.4148;9092.5314;14024.7116;9085.4067;14040.7724;9092.8677;14023.3325;9091.9172;14023.3287;9093.7608;14022.3105;9092.591;14024.4857;9092.5893;14021.2822
1780280.0;9091.9348;14025.73;9088.8074;14026.0936;9094.5951;14022.353;9092.5881;14024.6954;9085.4356;14040.743;9092.9032;14023.2885;9091.9477;14023.3218;9093.7366;14022.3132;9092.5157;14024.5821;9092.5835;14021.2708
1780300.0;9091.9241;14025.7841;9088.9336;14026.129;9094.6196;14022.2667;9092.6296;14024.6642;9085.4642;14040.6944;9092.9368;14023.2308;9091.977;14023.3396;9093.7128;14022.3184;9092.4422;14024.6834;9092.5661;14021.2586
1780320.0;9091.914;14025.8507;9089.0769;14026.1612;9094.6236;14022.1828;9092.6576;14024.6232;9085.4853;14040.6443;9092.9678;14023.1658;9092.0034;14023.3678;9093.6942;14022.3304;9092.3679;14024.786;9092.5415;14021.256
1780340.0;9091.906;14025.923;9089.2384;14026.1832;9094.6095;14022.129;9092.6798;14024.5771;9085.4931;14040.6128;9092.991;14023.0993;9092.0252;14023.3929;9093.6825;14022.3529;9092.2928;14024.8863;9092.5135;14021.2704
1780360.0;9091.9037;14025.985;9089.415;14026.1936;9094.5841;14022.1214;9092.7077;14024.5283;9085.4858;14040.6136;9092.9941;14023.041;9092.0449;14023.4081;9093.6769;14022.3855;9092.2172;14024.9821;9092.485;14021.3011
1780380.0;9091.9139;14026.0026;9089.6002;14026.1936;9094.5564;14022.157;9092.7519;14024.4752;9085.4649;14040.6488;9092.966;14023.002;9092.0706;14023.4116;9093.6753;14022.4225;9092.1412;14025.0738;9092.46;14021.3413
1780400.0;9091.9418;14025.9291;9089.7905;14026.1828;9094.5315;14022.2189;9092.8192;14024.4125;9085.4344;14040.7105;9092.9054;14022.9875;9092.1124;14023.4029;9093.6769;14022.4552;9092.0651;14025.1624;9092.4427;14021.3853
