Time(sentisec);X_A(m);Y_A(m);X_M(m);Y_M(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m)
1715220.0;3003.0719;1773.5494;2995.6798;1817.1137;2988.0492;1818.3224;2992.8126;1820.2595;2992.4063;1821.592;2993.647;1820.2071;2990.5695;1814.6366;2992.1855;1811.9372;2996.5569;1813.1809;2991.5803;1810.4822
1715240.0;3002.9682;1775.7402;2995.1271;1818.0724;2987.0719;1820.5081;2991.9563;1822.4718;2991.3505;1823.6582;2992.577;1822.2673;2989.4931;1816.9016;2990.964;1813.8645;2995.1332;1815.228;2989.962;1812.5611
1715260.0;3002.7789;1778.0768;2994.4474;1819.3669;2986.1604;1822.7581;2991.1906;1824.7313;2990.3782;1825.7943;2991.5888;1824.3794;2988.5492;1819.2643;2989.8439;1815.8825;2993.7825;1817.3373;2988.4472;1814.7201
1715280.0;3002.5272;1780.4398;2993.6574;1820.9942;2985.2906;1825.0648;2990.4986;1827.0217;2989.4832;1827.9873;2990.697;1826.5464;2987.7251;1821.705;2988.8208;1817.997;2992.5096;1819.5105;2987.0477;1816.957
1715300.0;3002.2296;1782.7585;2992.7911;1822.8656;2984.4507;1827.4163;2989.8625;1829.3308;2988.6581;1830.225;2989.9116;1828.7665;2986.9963;1824.1991;2987.8899;1820.2066;2991.3212;1821.7531;2985.7697;1819.2706
1715320.0;3001.8797;1785.0131;2991.8833;1824.8469;2983.6401;1829.7981;2989.2654;1831.6532;2987.8959;1832.497;2989.2342;1831.0314;2986.3317;1826.7241;2987.0443;1822.5017;2990.2243;1824.0698;2984.6089;1821.6578
1715340.0;3001.465;1787.2317;2990.9564;1826.8423;2982.8685;1832.1989;2988.6967;1833.9917;2987.1911;1834.7931;2988.657;1833.3306;2985.7006;1829.2645;2986.2742;1824.8685;2989.218;1826.4591;2983.5518;1824.1079
1715360.0;3000.9837;1789.4608;2990.0195;1828.8393;2982.1525;1834.613;2988.1554;1836.3539;2986.5393;1837.1038;2988.1678;1835.6566;2985.0804;1831.8124;2985.5667;1827.2932;2988.2889;1828.9075;2982.5798;1826.6019
1715380.0;3000.4555;1791.7371;2989.0907;1830.8563;2981.5107;1837.0395;2987.6517;1838.747;2985.9429;1839.4264;2987.7554;1838.0063;2984.4588;1834.3629;2984.9098;1829.7643;2987.4142;1831.3937;2981.6768;1829.1206
1715400.0;2999.917;1794.0725;2988.1868;1832.9262;2980.9562;1839.478;2987.2006;1841.1731;2985.4176;1841.768;2987.4139;1840.3775;2983.8346;1836.914;2984.2945;1832.2701;2986.5732;1833.8991;2980.8314;1831.6543
1715420.0;2999.4063;1796.4518;2987.3345;1835.0562;2980.4921;1841.9256;2986.8139;1843.6281;2984.9904;1844.1396;2987.1425;1842.7667;2983.2173;1839.4651;2983.7179;1834.7985;2985.758;1836.4158;2980.0377;1834.2066
1715440.0;2998.9518;1798.8451;2986.5642;1837.2378;2980.1116;1844.3776;2986.4917;1846.1032;2984.6861;1846.5445;2986.9432;1845.1699;2982.6257;1842.0162;2983.1831;1837.3383;2984.9782;1838.9459;2979.2925;1836.7882
