Time(sentisec);X_A(m);Y_A(m);X_M(m);Y_M(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m)
2894860.0;2995.1991;1857.6683;2996.2195;1847.5603;2992.8496;1845.3612;2998.9866;1841.5152;2990.9453;1840.1758;2993.1683;1861.2654;3001.386;1847.8811;3002.1328;1841.9449;2996.0632;1850.0398;2994.7961;1849.0391
2894880.0;2995.2005;1857.5127;2996.191;1847.5785;2992.8415;1845.3932;2999.0811;1841.4684;2991.1333;1840.3198;2993.1359;1861.2878;3001.3914;1847.8311;3002.1096;1841.9776;2996.0578;1850.0074;2994.8491;1849.0209
2894900.0;2995.209;1857.3259;2996.1372;1847.6049;2992.8578;1845.3713;2999.1585;1841.4082;2991.3739;1840.3697;2993.1167;1861.3075;3001.3821;1847.8086;3002.0812;1842.0;2996.0475;1849.9693;2994.9446;1848.968
2894920.0;2995.2239;1857.1212;2996.0718;1847.6412;2992.8739;1845.3662;2999.2073;1841.343;2991.6095;1840.3949;2993.1112;1861.3246;3001.3518;1847.814;3002.0507;1842.012;2996.0413;1849.913;2995.0637;1848.8563
2894940.0;2995.2425;1856.9187;2996.0102;1847.6823;2992.8878;1845.378;2999.2252;1841.2781;2991.7996;1840.4413;2993.1145;1861.3332;3001.2954;1847.8401;3002.0192;1842.0174;2996.0395;1849.8397;2995.1802;1848.669
2894960.0;2995.2627;1856.7348;2995.962;1847.7198;2992.9058;1845.3845;2999.2186;1841.2136;2991.9349;1840.5131;2993.1193;1861.3236;3001.2138;1847.8754;3001.9855;1842.0205;2996.0357;1849.7619;2995.2752;1848.4077
2894980.0;2995.2849;1856.5773;2995.9287;1847.7499;2992.9276;1845.3851;2999.1989;1841.1467;2992.0243;1840.5968;2993.1201;1861.2884;3001.1146;1847.9093;3001.9487;1842.0254;2996.0238;1849.6947;2995.3442;1848.0972
2895000.0;2995.3101;1856.4474;2995.905;1847.7768;2992.9515;1845.3765;2999.1751;1841.0734;2992.0806;1840.6823;2993.1132;1861.2296;3001.0084;1847.9367;3001.9092;1842.0362;2996.0025;1849.6453;2995.3929;1847.7789
2895020.0;2995.3365;1856.3468;2995.8822;1847.8098;2992.9702;1845.3665;2999.1465;1840.9926;2992.1147;1840.763;2993.0954;1861.1599;3000.9027;1847.9608;3001.8682;1842.0564;2995.9767;1849.6094;2995.4281;1847.4967
2895040.0;2995.3603;1856.2717;2995.8541;1847.8566;2992.9765;1845.3591;2999.1033;1840.9087;2992.139;1840.8325;2993.0657;1861.0965;3000.8017;1847.9878;3001.8269;1842.0858;2995.955;1849.5769;2995.4551;1847.2783
