Time(sentisec);X_A(m);Y_A(m);X_M(m);Y_M(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m)
5730000.0;3014.0697;1832.1061;2995.5788;1845.7066;2993.3377;1839.716;2993.6054;1848.69;2995.5073;1853.1406;2997.0176;1850.543;2991.6227;1844.7693;2993.8677;1849.2273;2991.9105;1848.8948;2997.4001;1842.1858
5730020.0;3014.1123;1832.1647;2995.5041;1845.7066;2993.3506;1839.7377;2993.5087;1848.69;2995.5789;1853.1463;2997.018;1850.543;2991.6213;1844.8227;2993.8617;1849.2273;2992.3688;1849.2547;2997.4066;1842.1858
5730040.0;3014.1711;1832.2465;2995.4059;1845.7066;2993.361;1839.76;2993.3843;1848.69;2995.6645;1853.1585;2997.0192;1850.5425;2991.6178;1844.8911;2993.8566;1849.2269;2992.856;1849.7055;2997.4178;1842.1858
5730060.0;3014.2474;1832.3554;2995.2872;1845.7066;2993.3661;1839.7839;2993.236;1848.69;2995.7581;1853.1804;2997.0226;1850.5409;2991.6097;1844.9696;2993.8552;1849.2252;2993.3589;1850.2327;2997.4353;1842.1858
5730080.0;3014.3338;1832.5008;2995.157;1845.7066;2993.363;1839.8098;2993.0757;1848.69;2995.8496;1853.2118;2997.0307;1850.5359;2991.5947;1845.0462;2993.8592;1849.2202;2993.871;1850.7913;2997.4605;1842.1858
5730100.0;3014.411;1832.698;2995.0261;1845.7066;2993.3502;1839.834;2992.9176;1848.69;2995.9269;1853.2466;2997.0458;1850.5239;2991.5731;1845.1088;2993.8674;1849.2082;2994.3741;1851.3187;2997.4932;1842.1858
5730120.0;3014.4538;1832.9611;2994.9026;1845.7066;2993.329;1839.8461;2992.7704;1848.6904;2995.9793;1853.274;2997.0678;1850.5015;2991.5494;1845.1529;2993.8779;1849.1858;2994.8156;1851.7616;2997.5299;1842.1858
5730140.0;3014.4479;1833.2859;2994.7889;1845.7062;2993.3039;1839.8345;2992.6346;1848.6924;2995.9993;1853.2844;2997.0929;1850.4688;2991.5314;1845.1819;2993.8908;1849.1532;2995.1265;1852.0942;2997.5618;1842.1858
5730160.0;3014.4056;1833.6403;2994.6845;1845.7051;2993.281;1839.796;2992.5091;1848.6993;2995.9844;1853.274;2997.115;1850.4318;2991.5265;1845.1992;2993.9083;1849.1162;2995.2609;1852.3127;2997.5792;1842.1858
5730180.0;3014.3636;1833.9805;2994.5841;1845.7021;2993.2633;1839.7407;2992.3946;1848.7183;2995.9457;1853.2463;2997.1302;1850.3992;2991.5396;1845.2058;2993.9312;1849.0832;2995.2405;1852.4407;2997.5781;1842.1858
5730200.0;3014.3553;1834.2731;2994.4821;1845.6958;2993.2493;1839.6845;2992.2958;1848.7603;2995.9052;1853.211;2997.1383;1850.3767;2991.5711;1845.2019;2993.9565;1849.0593;2995.1126;1852.5199;2997.5638;1842.1858
5730220.0;3014.3847;1834.5038;2994.3766;1845.6864;2993.2357;1839.6408;2992.2195;1848.8377;2995.8857;1853.1787;2997.1417;1850.3647;2991.6168;1845.1917;2993.9786;1849.0427;2994.9079;1852.605;2997.5459;1842.1858
5730240.0;3014.4234;1834.6671;2994.2722;1845.6772;2993.2204;1839.6149;2992.1714;1848.9587;2995.8956;1853.1563;2997.1428;1850.3597;2991.6696;1845.1812;2993.9938;1849.0269;2994.6287;1852.7396;2997.5321;1842.1858
5730260.0;3014.4301;1834.7571;2994.178;1845.6733;2993.2043;1839.6061;2992.1553;1849.123;2995.9263;1853.1439;2997.1431;1850.3576;2991.7212;1845.1742;2994.0022;1849.0051;2994.2769;1852.9316;2997.5242;1842.1858
5730280.0;3014.3726;1834.7717;2994.1027;1845.6772;2993.1896;1839.6127;2992.1708;1849.3204;2995.9614;1853.1372;2997.1433;1850.3554;2991.7657;1845.1708;2994.0067;1848.9753;2993.8858;1853.1501;2997.5208;1842.1858
5730300.0;3014.241;1834.7173;2994.0494;1845.686;2993.1771;1839.6331;2992.2129;1849.5338;2995.9891;1853.1306;2997.1444;1850.3499;2991.7998;1845.1696;2994.0112;1848.942;2993.5167;1853.3509;2997.5197;1842.1858
5730320.0;3014.0492;1834.6117;2994.0129;1845.6939;2993.1642;1839.6637;2992.2719;1849.7443;2996.0097;1853.1182;2997.1478;1850.3367;2991.8255;1845.1692;2994.0196;1848.9126;2993.2237;1853.5063;2997.5192;1842.1858
5730340.0;3013.8315;1834.4768;2993.9837;1845.6957;2993.1438;1839.6957;2992.3372;1849.9383;2996.0301;1853.0957;2997.156;1850.312;2991.8495;1845.1696;2994.0348;1848.892;2993.0303;1853.6141;2997.5181;1842.1863
5730360.0;3013.6291;1834.3419;2993.9534;1845.688;2993.1066;1839.7168;2992.4013;1850.1083;2996.0558;1853.0631;2997.1714;1850.2757;2991.8802;1845.1708;2994.0569;1848.8796;2992.9343;1853.6825;2997.5149;1842.1879
5730380.0;3013.4733;1834.2412;2993.9191;1845.6689;2993.0456;1839.7184;2992.459;1850.2518;2996.0842;1853.0261;2997.1947;1850.2334;2991.9225;1845.1738;2994.082;1848.8701;2992.9264;1853.7156;2997.5082;1842.1933
5730400.0;3013.3703;1834.2038;2993.8827;1845.6399;2992.958;1839.7023;2992.5049;1850.3679;2996.1088;1852.9934;2997.2231;1850.1925;2991.977;1845.1782;2994.1041;1848.8566;2992.9975;1853.7135;2997.4975;1842.2071
5730420.0;3013.3007;1834.2378;2993.8488;1845.6066;2992.844;1839.6807;2992.5328;1850.454;2996.1232;1852.971;2997.2533;1850.1558;2992.0434;1845.18;2994.1196;1848.8338;2993.1346;1853.6784;2997.4869;1842.2351
5730440.0;3013.2341;1834.3257;2993.8238;1845.5772;2992.7059;1839.6676;2992.5386;1850.5045;2996.123;1852.9585;2997.284;1850.1197;2992.1244;1845.1675;2994.1288;1848.8007;2993.3171;1853.619;2997.4855;1842.281
5730460.0;3013.1501;1834.4367;2993.814;1845.557;2992.5479;1839.6682;2992.5243;1850.5145;2996.1003;1852.9517;2997.3153;1850.0801;2992.2255;1845.1244;2994.1359;1848.7619;2993.5246;1853.5457;2997.502;1842.3426
5730480.0;3013.0487;1834.5366;2993.8214;1845.5462;2992.3803;1839.6784;2992.4962;1850.4858;2996.039;1852.9446;2997.3472;1850.0368;2992.3481;1845.0415;2994.1462;1848.7233;2993.7429;1853.466;2997.5388;1842.4112
5730500.0;3012.9493;1834.5931;2993.8425;1845.542;2992.2206;1839.6938;2992.4626;1850.4292;2995.9202;1852.931;2997.3785;1849.9929;2992.484;1844.9287;2994.1651;1848.686;2993.9649;1853.3843;2997.5904;1842.4744
5730520.0;3012.876;1834.5801;2993.8712;1845.542;2992.0909;1839.7212;2992.4305;1850.3577;2995.7364;1852.9063;2997.4092;1849.9503;2992.6174;1844.813;2994.1956;1848.6443;2994.1879;1853.3019;2997.6508;1842.5227
5730540.0;3012.8404;1834.4852;2993.9038;1845.5462;2992.0113;1839.7749;2992.4053;1850.2789;2995.5058;1852.8699;2997.4394;1849.9089;2992.7329;1844.7224;2994.2369;1848.5914;2994.411;1853.2196;2997.717;1842.554
5730560.0;3012.8287;1834.3161;2993.9406;1845.5574;2991.9923;1839.8582;2992.389;1850.1942;2995.2666;1852.828;2997.4678;1849.8706;2992.8219;1844.6719;2994.2845;1848.5262;2994.634;1853.1372;2997.7856;1842.5746
5730580.0;3012.8072;1834.0953;2993.9823;1845.5792;2992.0328;1839.9521;2992.3809;1850.1036;2995.0548;1852.7887;2997.4908;1849.8395;2992.8822;1844.6614;2994.3329;1848.4558;2994.857;1853.0549;2997.8453;1842.5961
5730600.0;3012.7465;1833.8505;2994.026;1845.6136;2992.1231;1840.0247;2992.3789;1850.0077;2994.881;1852.757;2997.5052;1849.8189;2992.9166;1844.6841;2994.3783;1848.3896;2995.0801;1852.9725;2997.8781;1842.6319
5730620.0;3012.6473;1833.6082;2994.0645;1845.6594;2992.2572;1840.0571;2992.3825;1849.9091;2994.7308;1852.7334;2997.5099;1849.8081;2992.932;1844.733;2994.4187;1848.3329;2995.3031;1852.8902;2997.8677;1842.6946
5730640.0;3012.5415;1833.3914;2994.0855;1845.7138;2992.4377;1840.0564;2992.3954;1849.8139;2994.5803;1852.7177;2997.5046;1849.8036;2992.9369;1844.8014;2994.4522;1848.2848;2995.5309;1852.8059;2997.8105;1842.7922
5730660.0;3012.4776;1833.2182;2994.0731;1845.7754;2992.6756;1840.0516;2992.4241;1849.7316;2994.4134;1852.712;2997.488;1849.8022;2992.9369;1844.8835;2994.4757;1848.242;2995.773;1852.7155;2997.7188;1842.9242
5730680.0;3012.4998;1833.0992;2994.0012;1845.8465;2992.9801;1840.0763;2992.4755;1849.6725;2994.2279;1852.7177;2997.4583;1849.8018;2992.932;1844.9737;2994.487;1848.2055;2996.055;1852.6074;2997.6135;1843.0793
5730700.0;3012.635;1833.0339;2993.8358;1845.9315;2993.3422;1840.1529;2992.5518;1849.649;2994.0271;1852.7346;2997.4136;1849.8018;2992.9199;1845.0678;2994.4872;1848.1824;2996.4224;1852.456;2997.5107;1843.2382
5730720.0;3012.8879;1833.0066;2993.5543;1846.0325;2993.7314;1840.2861;2992.6473;1849.6791;2993.8125;1852.7622;2997.353;1849.8014;2992.9008;1845.1623;2994.4803;1848.1832;2996.9186;1852.2301;2997.415;1843.3817
5730740.0;3013.2295;1832.9887;2993.1766;1846.1391;2994.1099;1840.4651;2992.7495;1849.7859;2993.5608;1852.8053;2997.2784;1849.7997;2992.8778;1845.2541;2994.4703;1848.2178;2997.5467;1851.901;2997.326;1843.4967
5730760.0;3013.6085;1832.9497;2992.7768;1846.2245;2994.4575;1840.6777;2992.8469;1849.9821;2993.2196;1852.8703;2997.1986;1849.7943;2992.8554;1845.3389;2994.4586;1848.2898;2998.2328;1851.4572;2997.2486;1843.5791
5730780.0;3013.9856;1832.8738;2992.4489;1846.258;2994.7791;1840.9175;2992.9368;1850.2519;2992.7359;1852.9557;2997.1284;1849.7801;2992.8385;1845.4117;2994.4443;1848.3902;2998.8358;1850.9215;2997.1944;1843.6301
5730800.0;3014.363;1832.7684;2992.2494;1846.2278;2995.0851;1841.1836;2993.026;1850.5507;2992.1106;1853.0471;2997.0824;1849.7509;2992.8322;1845.4676;2994.4286;1848.4964;2999.196;1850.349;2997.1687;1843.6551
5730820.0;3014.7763;1832.659;2992.1701;1846.1528;2995.3676;1841.4753;2993.1204;1850.8257;2991.4274;1853.1232;2997.0684;1849.7017;2992.8389;1845.5048;2994.4162;1848.5839;2999.1924;1849.8046;2997.1607;1843.6647
5730840.0;3015.2441;1832.5756;2992.158;1846.0756;2995.6094;1841.7998;2993.2142;1851.0403;2990.8168;1853.1707;2997.0851;1849.633;2992.857;1845.5263;2994.4112;1848.6381;2998.7954;1849.319;2997.1481;1843.6755
5730860.0;3015.7365;1832.5405;2992.161;1846.0436;2995.8098;1842.1731;2993.2923;1851.1863;2990.3824;1853.1952;2997.1186;1849.5544;2992.8814;1845.5394;2994.4128;1848.6601;2998.1024;1848.8717;2997.1103;1843.7069
5730880.0;3016.2;1832.563;2992.1565;1846.088;2995.9974;1842.6075;2993.342;1851.2781;2990.1811;1853.2238;2997.1418;1849.4833;2992.898;1845.5579;2994.4166;1848.6602;2997.3088;1848.4232;2997.0392;1843.7751
5730900.0;3016.6018;1832.6394;2992.1655;1846.2217;2996.2158;1843.095;2993.3663;1851.3346;2990.2486;1853.3054;2997.1204;1849.4381;2992.8837;1845.6056;2994.4167;1848.6509;2996.6274;1847.9608;2996.9421;1843.8862
5730920.0;3016.9419;1832.7576;2992.2387;1846.438;2996.481;1843.6021;2993.3896;1851.3647;2990.6161;1853.5051;2997.0283;1849.4306;2992.7885;1845.7216;2994.4076;1848.6366;2996.2169;1847.4993;2996.8408;1844.0384
5730940.0;3017.2424;1832.9045;2992.4252;1846.711;2996.7592;1844.0858;2993.4564;1851.367;2991.2826;1853.8807;2996.8623;1849.461;2992.5553;1845.9636;2994.3825;1848.6055;2996.14;1847.0633;2996.7682;1844.2232
