Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m);X_M(m);Y_M(m)
3845020.0;2983.1722;1844.1695;2986.2234;1842.4319;2987.754;1840.1729;2986.2657;1840.3661;2984.5736;1844.7965;2983.63;1841.7057;2975.1825;1848.2044;3061.3738;1804.5872;2974.9852;1852.345
3845040.0;2982.2023;1841.3735;2985.1724;1839.864;2986.6008;1837.8171;2985.336;1837.8678;2983.4311;1842.1658;2982.559;1839.0771;2974.1379;1845.3149;3061.6298;1806.7957;2974.153;1848.8481
3845060.0;2981.4727;1838.4349;2984.2457;1837.1791;2985.5897;1835.3936;2984.5364;1835.2866;2982.4158;1839.4452;2981.6544;1836.3636;2973.2833;1842.2501;3061.6698;1808.9591;2973.4756;1845.2257
3845080.0;2980.9256;1835.437;2983.4494;1834.3962;2984.7109;1832.9116;2983.8601;1832.6301;2981.5329;1836.6438;2980.9079;1833.5927;2972.629;1839.0493;3061.4585;1811.0669;2972.8614;1841.7227
3845100.0;2980.502;1832.4401;2982.7799;1831.5415;2983.9489;1830.3654;2983.2912;1829.9115;2980.779;1833.7762;2980.2927;1830.7889;2972.1791;1835.7661;3060.9791;1813.097;2972.2329;1838.48
3845120.0;2980.1649;1829.472;2982.2257;1828.6442;2983.2882;1827.7493;2982.808;1827.1467;2980.1438;1830.8599;2979.7738;1827.9694;2971.9358;1832.4524;3060.2366;1815.0232;2971.551;1835.5006
3845140.0;2979.9059;1826.5402;2981.7743;1825.7321;2982.7201;1825.0709;2982.389;1824.3513;2979.6214;1827.912;2979.3261;1825.1434;2971.9007;1829.1443;3059.254;1816.8243;2970.8144;1832.7096
3845160.0;2979.7462;1823.6467;2981.4234;1822.8292;2982.2474;1822.3508;2982.0246;1821.5411;2979.2204;1824.9439;2978.9472;1822.3135;2972.0748;1825.8608;3058.0663;1818.4909;2970.0482;1830.027
3845180.0;2979.7282;1820.7936;2981.1874;1819.9549;2981.8925;1819.6141;2981.7254;1818.7338;2978.9651;1821.9641;2978.6682;1819.4825;2972.4552;1822.6136;3056.7088;1820.0267;2969.2941;1827.4018
3845200.0;2979.9018;1817.9852;2981.0991;1817.1229;2981.6982;1816.8834;2981.5277;1815.9534;2978.8891;1818.983;2978.5551;1816.6613;2973.0371;1819.4174;3055.2082;1821.4452;2968.6154;1824.8109
3845220.0;2980.3048;1815.2329;2981.2068;1814.3444;2981.7215;1814.1784;2981.4882;1813.2334;2979.0258;1816.0187;2978.6988;1813.8734;2973.8194;1816.2889;3053.5764;1822.7612;2968.1023;1822.256
3845240.0;2980.9551;1812.5619;2981.5671;1811.634;2982.0167;1811.5212;2981.6748;1810.6181;2979.4037;1813.0957;2979.1843;1811.151;2974.8109;1813.2422;3051.8099;1823.9877;2967.8782;1819.7621
3845260.0;2981.8535;1810.009;2982.234;1809.0167;2982.6206;1808.9421;2982.1536;1808.1526;2980.0419;1810.2396;2980.0557;1808.53;2976.0304;1810.2886;3049.8977;1825.1325;2968.0784;1817.3662
3845280.0;2982.9931;1807.614;2983.2435;1806.5291;2983.5454;1806.4793;2982.9774;1805.8653;2980.9478;1807.4737;2981.2998;1806.0447;2977.4992;1807.4438;3047.8349;1826.1956;2968.8109;1815.106
3845300.0;2984.3631;1805.4092;2984.6008;1804.2096;2984.7824;1804.1674;2984.178;1803.7556;2982.1173;1804.8194;2982.8641;1803.7274;2979.2306;1804.7323;3045.6366;1827.1626;2970.1159;1813.0039
3845320.0;2985.9498;1803.4144;2986.2796;1802.0857;2986.3108;1802.0259;2985.7588;1801.8001;2983.5387;1802.2965;2984.6893;1801.6049;2981.2219;1802.1855;3043.3395;1828.0058;2971.9493;1811.0563
3845340.0;2987.7357;1801.6317;2988.2325;1800.1643;2988.1026;1800.0556;2987.6893;1799.9691;2985.1949;1799.9233;2986.7273;1799.6917;2983.4523;1799.8332;3040.9865;1828.6996;2974.1913;1809.2325
3845360.0;2989.7014;1800.0384;2990.403;1798.4309;2990.1237;1798.2434;2989.9035;1798.2383;2987.0653;1797.7151;2988.9403;1797.9804;2985.8837;1797.6967;3038.6097;1829.2394;2976.6811;1807.4879
3845380.0;2991.8274;1798.5825;2992.7355;1796.8525;2992.336;1796.5688;2992.3094;1796.5881;2989.1254;1795.6822;2991.294;1796.4413;2988.4679;1795.7816;3036.227;1829.6488;2979.2714;1805.7882
3845400.0;2994.0952;1797.1958;2995.1833;1795.3843;2994.7002;1795.0058;2994.8159;1795.0012;2991.3481;1793.8299;2993.7559;1795.0316;2991.1584;1794.0702;3033.8474;1829.9691;2981.8788;1804.1288
3845420.0;2996.4856;1795.8181;2997.712;1793.9805;2997.1808;1793.5242;2997.3633;1793.4643;2993.7076;1792.1589;2996.3023;1793.7138;2993.9196;1792.5206;3031.4756;1830.2412;2984.491;1802.5335
3845440.0;2998.9806;1794.4214;3000.3028;1792.608;2999.7482;1792.0953;2999.9368;1791.9777;2996.1839;1790.6651;2998.9207;1792.4675;2996.7296;1791.0759;3029.113;1830.496;2987.13;1801.0358
3845460.0;3001.5641;1793.0131;3002.9498;1791.2554;3002.3813;1790.7005;3002.5486;1790.5567;2998.7638;1789.3375;3001.611;1791.2927;2999.5774;1789.6882;3026.7597;1830.7553;2989.8034;1799.6587
3845480.0;3004.2249;1791.6235;3005.6535;1789.9346;3005.0664;1789.3369;3005.2127;1789.2263;3001.4383;1788.1555;3004.3801;1790.2002;3002.4602;1788.3365;3024.4186;1831.0368;2992.4907;1798.4109
3845500.0;3006.957;1790.2874;3008.416;1788.6756;3007.7948;1788.0182;3007.9302;1788.0087;3004.1972;1787.0905;3007.2371;1789.2036;3005.3845;1787.0459;3022.0966;1831.3556;2995.1565;1797.2935
3845520.0;3009.7581;1789.0388;3011.2385;1787.5208;3010.5583;1786.7735;3010.6954;1786.9216;3007.0273;1786.1137;3010.1876;1788.3119;3008.3635;1785.8929;3019.8026;1831.7252;2997.775;1796.3026
3845540.0;3012.626;1787.9108;3014.1204;1786.5162;3013.3456;1785.6453;3013.505;1785.9842;3009.9117;1785.2059;3013.2289;1787.5347;3011.406;1784.9893;3017.5442;1832.1593;3000.338;1795.4239
3845560.0;3015.5522;1786.9394;3017.0559;1785.7076;3016.1411;1784.6898;3016.3535;1785.2309;3012.8316;1784.3649;3016.3474;1786.8893;3014.5027;1784.44;3015.3269;1832.6696;3002.8514;1794.6293
3845580.0;3018.5173;1786.1638;3020.0299;1785.1374;3018.9236;1783.9716;3019.2259;1784.7149;3015.7659;1783.6095;3019.5177;1786.4084;3017.6217;1784.2977;3013.1523;1833.2601;3005.3259;1793.8861
3845600.0;3021.4891;1785.627;3023.0153;1784.8487;3021.6661;1783.5586;3022.0923;1784.4994;3018.6904;1782.9834;3022.7042;1786.1366;3020.7177;1784.5561;3011.0174;1833.9221;3007.7764;1793.1883
3845620.0;3024.4265;1785.3701;3025.9744;1784.8844;3024.3386;1783.5106;3024.9131;1784.6375;3021.576;1782.5575;3025.8623;1786.1195;3023.7447;1785.1824;3008.9172;1834.6371;3010.2234;1792.5809
3845640.0;3027.2838;1785.4245;3028.8638;1785.281;3026.9134;1783.8684;3027.646;1785.1536;3024.3904;1782.4213;3028.9433;1786.3899;3026.6608;1786.1452;3006.8488;1835.3844;3012.6922;1792.1798
3845660.0;3030.0144;1785.8036;3031.6387;1786.0561;3029.3681;1784.6412;3030.2535;1786.0349;3027.1013;1782.6588;3031.8982;1786.9667;3029.4287;1787.4108;3004.816;1836.1476;3015.1995;1792.1571
3845680.0;3032.5736;1786.507;3034.2571;1787.1962;3031.6831;1785.8009;3032.7045;1787.2388;3029.6827;1783.32;3034.6844;1787.8542;3032.0189;1788.9288;3002.8288;1836.9198;3017.7374;1792.6843
3845700.0;3034.9233;1787.5254;3036.6821;1788.6569;3033.8392;1787.2895;3034.9761;1788.7082;3032.1163;1784.4053;3037.266;1789.0537;3034.4116;1790.6381;3000.9015;1837.7096;3020.2615;1793.8487
3845720.0;3037.0349;1788.847;3038.8823;1790.3758;3035.819;1789.0367;3037.0495;1790.3857;3034.3919;1785.871;3039.6108;1790.5698;3036.5912;1792.4869;2999.0523;1838.5415;3022.6964;1795.5933
3845740.0;3038.8886;1790.4638;3040.8335;1792.2917;3037.6102;1790.9771;3038.9057;1792.2224;3036.5048;1787.651;3041.693;1792.4041;3038.5391;1794.4507;2997.3068;1839.4472;3024.9608;1797.7343
3845760.0;3040.468;1792.3723;3042.5214;1794.3572;3039.206;1793.0598;3040.5266;1794.1804;3038.4533;1789.6779;3043.5013;1794.5297;3040.2311;1796.5237;2995.6991;1840.4523;3027.0027;1800.0428
3845780.0;3041.7623;1794.5567;3043.9438;1796.5356;3040.604;1795.2473;3041.9;1796.2292;3040.2345;1791.895;3045.046;1796.8734;3041.6445;1798.7021;2994.2674;1841.5679;3028.8241;1802.3259
3845800.0;3042.773;1796.9635;3045.111;1798.7935;3041.8042;1797.5135;3043.0265;1798.3414;3041.8406;1794.2594;3046.3481;1799.3345;3042.765;1800.9682;2993.0442;1842.7917;3030.4667;1804.4708
3845820.0;3043.5177;1799.4956;3046.0405;1801.0939;3042.8092;1799.8369;3043.9158;1800.488;3043.2551;1796.7392;3047.414;1801.8306;3043.5862;1803.2881;2992.0517;1844.1125;3031.9605;1806.455
3845840.0;3044.0183;1802.0456;3046.7488;1803.3982;3043.621;1802.1977;3044.5754;1802.6407;3044.4555;1799.3094;3048.2243;1804.3218;3044.1076;1805.6182;2991.3008;1845.5133;3033.2797;1808.3278
