Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_L(m);Y_L(m)
1678080.0;3002.7154;1851.7082;2999.51;1853.6957;3001.4195;1853.2472;3001.9884;1855.7721;3001.9069;1852.3986;3002.2697;1851.7851;2994.4851;1852.7816
1678100.0;3002.6808;1851.671;2999.5003;1853.8149;3001.3622;1853.2954;3002.1063;1855.7726;3001.8623;1852.287;3002.2439;1851.8216;2994.4917;1852.8129
1678120.0;3002.6474;1851.6361;2999.5306;1853.9064;3001.3074;1853.3365;3002.1669;1855.7915;3001.8257;1852.2048;3002.2665;1851.8704;2994.4879;1852.8545
1678140.0;3002.6134;1851.5987;2999.6059;1853.9566;3001.2612;1853.3688;3002.1961;1855.8202;3001.8025;1852.1613;3002.3602;1851.9522;2994.4766;1852.9014
1678160.0;3002.5775;1851.5512;2999.7126;1853.9622;3001.2295;1853.3847;3002.2042;1855.8447;3001.791;1852.1555;3002.5371;1852.0825;2994.4631;1852.9489
1678180.0;3002.5403;1851.4894;2999.8213;1853.9295;3001.2161;1853.3747;3002.1938;1855.8514;3001.7865;1852.1768;3002.7821;1852.2586;2994.4526;1852.9954
1678200.0;3002.5035;1851.4145;2999.9028;1853.8708;3001.2202;1853.3383;3002.1642;1855.8315;3001.7851;1852.2129;3003.0484;1852.4558;2994.4458;1853.0396
1678220.0;3002.4677;1851.3284;2999.9452;1853.8001;3001.2342;1853.2908;3002.1141;1855.7841;3001.7848;1852.2543;3003.2775;1852.6412;2994.4391;1853.0781
1678240.0;3002.431;1851.2302;2999.9539;1853.7289;3001.2482;1853.2557;3002.0429;1855.7147;3001.785;1852.2941;3003.4302;1852.7909;2994.4285;1853.1067
1678260.0;3002.3877;1851.1173;2999.9424;1853.6621;3001.2555;1853.2476;3001.9555;1855.6306;3001.7857;1852.3238;3003.5008;1852.9;2994.4151;1853.1242
1678280.0;3002.3314;1850.9914;2999.9232;1853.5979;3001.2573;1853.2636;3001.864;1855.5381;3001.7879;1852.335;3003.5103;1852.9782;2994.4039;1853.1327
1678300.0;3002.2601;1850.863;2999.9019;1853.5348;3001.2597;1853.2912;3001.7838;1855.4402;3001.7937;1852.3238;3003.4878;1853.0387;2994.4008;1853.136
1678320.0;3002.1795;1850.7478;2999.8781;1853.4776;3001.2671;1853.3214;3001.725;1855.3376;3001.8053;1852.2938;3003.4563;1853.0909;2994.4097;1853.137
1678340.0;3002.0999;1850.6588;2999.8492;1853.4349;3001.2766;1853.3532;3001.689;1855.2306;3001.824;1852.253;3003.4303;1853.1413;2994.4327;1853.1372
1678360.0;3002.0304;1850.6013;2999.8141;1853.4135;3001.278;1853.3893;3001.67;1855.1229;3001.8474;1852.2073;3003.4208;1853.1963;2994.4697;1853.1372
1678380.0;3001.9748;1850.5734;2999.7739;1853.4124;3001.2586;1853.4292;3001.6604;1855.0251;3001.8703;1852.1589;3003.4404;1853.2625;2994.5182;1853.1372
1678400.0;3001.9311;1850.571;2999.7305;1853.4254;3001.2115;1853.4715;3001.6538;1854.954;3001.8869;1852.1086;3003.5054;1853.3453;2994.5745;1853.1372
1678420.0;3001.8934;1850.5898;2999.6858;1853.4446;3001.1396;1853.5159;3001.6469;1854.9248;3001.8935;1852.0574;3003.6262;1853.4475;2994.6348;1853.1372
1678440.0;3001.8549;1850.625;2999.6418;1853.4631;3001.0555;1853.5649;3001.6409;1854.9408;3001.8895;1852.0058;3003.7951;1853.5693;2994.6969;1853.137
1678460.0;3001.8107;1850.6654;2999.5993;1853.4767;3000.9737;1853.6191;3001.6416;1854.9898;3001.8775;1851.9516;3003.9833;1853.7055;2994.7595;1853.136
1678480.0;3001.7591;1850.6935;2999.5559;1853.4841;3000.9058;1853.677;3001.6545;1855.0495;3001.8617;1851.8937;3004.1508;1853.8422;2994.8222;1853.1327
1678500.0;3001.7;1850.6886;2999.5101;1853.486;3000.8592;1853.7336;3001.6783;1855.0997;3001.8447;1851.8372;3004.2671;1853.9594;2994.8849;1853.1242
1678520.0;3001.6356;1850.6393;2999.4624;1853.483;3000.8384;1853.784;3001.7016;1855.1311;3001.8242;1851.7942;3004.3248;1854.0401;2994.9475;1853.1067
1678540.0;3001.5706;1850.5541;2999.4144;1853.474;3000.8452;1853.8272;3001.7097;1855.1447;3001.7928;1851.778;3004.3378;1854.0799;2995.0095;1853.0781
1678560.0;3001.5128;1850.4608;2999.3667;1853.4579;3000.8762;1853.8702;3001.6944;1855.1453;3001.7455;1851.7936;3004.3281;1854.0884;2995.07;1853.0394
1678580.0;3001.4699;1850.3894;2999.321;1853.4379;3000.9239;1853.9262;3001.6599;1855.1382;3001.6839;1851.8334;3004.3137;1854.0817;2995.127;1852.9942
1678600.0;3001.4471;1850.354;2999.2852;1853.4206;3000.9798;1854.0039;3001.6193;1855.1311;3001.6154;1851.879;3004.3036;1854.0719;2995.1779;1852.9442
1678620.0;3001.4464;1850.3502;2999.2702;1853.4109;3001.0372;1854.1016;3001.5849;1855.1364;3001.5467;1851.9075;3004.3002;1854.0629;2995.2213;1852.8872
1678640.0;3001.4668;1850.3661;2999.2809;1853.4069;3001.0922;1854.2102;3001.5615;1855.1677;3001.4814;1851.8975;3004.3044;1854.0518;2995.2581;1852.8198
1678660.0;3001.5036;1850.3942;2999.3125;1853.4024;3001.1444;1854.3203;3001.5457;1855.232;3001.422;1851.8343;3004.3179;1854.0336;2995.2908;1852.7408
1678680.0;3001.548;1850.4313;2999.3552;1853.3937;3001.1969;1854.4244;3001.5287;1855.3244;3001.3715;1851.7126;3004.3436;1854.0059;2995.3208;1852.652
