Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m)
2024860.0;6563.6803;15956.3028;6562.1297;15958.156;6562.8892;15957.5181;6564.1677;15957.9632;6561.5142;15961.5212;6563.7964;15956.8379;6566.7093;15954.2315;6568.1196;15954.9524;6568.7082;15955.2053
2024880.0;6563.045;15953.981;6561.3295;15956.2315;6562.0527;15955.4079;6563.5522;15955.714;6560.7179;15959.5507;6563.0345;15954.8061;6565.869;15952.238;6567.4502;15952.7653;6568.0013;15953.1692
2024900.0;6562.522;15951.645;6560.6493;15954.2745;6561.3383;15953.2536;6563.0522;15953.4357;6560.0044;15957.5415;6562.3757;15952.7548;6565.1369;15950.2444;6566.8822;15950.5617;6567.3186;15951.1392
2024920.0;6562.1012;15949.3229;6560.0813;15952.2718;6560.7497;15951.0585;6562.648;15951.147;6559.3594;15955.4989;6561.8103;15950.6824;6564.5274;15948.2494;6566.433;15948.3492;6566.6623;15949.1181
2024940.0;6561.7697;15947.0306;6559.6158;15950.2192;6560.2825;15948.8304;6562.3223;15948.8565;6558.7715;15953.4328;6561.3278;15948.5894;6564.0381;15946.2492;6566.1149;15946.1372;6566.0442;15947.1073
2024960.0;6561.5161;15944.7729;6559.2444;15948.1218;6559.923;15946.5817;6562.0617;15946.5648;6558.2375;15951.3538;6560.9208;15946.4793;6563.6516;15944.2397;6565.9227;15943.9348;6565.4814;15945.1038
2024980.0;6561.3321;15942.5452;6558.9584;15945.9884;6559.6494;15944.3267;6561.8538;15944.2724;6557.7631;15949.2682;6560.586;15944.3579;6563.3436;15942.2198;6565.8287;15941.7492;6564.9913;15943.1003
2025000.0;6561.2097;15940.3363;6558.7473;15943.8272;6559.4378;15942.0764;6561.6854;15941.9846;6557.3585;15947.1758;6560.3214;15942.2304;6563.0935;15940.1931;6565.7942;15939.5845;6564.5877;15941.0895
2025020.0;6561.1354;15938.134;6558.6;15941.6455;6559.2689;15939.8358;6561.5444;15939.7095;6557.0306;15945.0731;6560.1226;15940.1005;6562.8902;15938.1656;6565.7858;15937.4423;6564.2777;15939.0684
2025040.0;6561.0889;15935.9326;6558.5074;15939.4522;6559.1347;15937.6038;6561.4222;15937.4533;6556.7783;15942.9586;6559.9808;15937.9697;6562.7306;15936.1418;6565.7837;15935.3226;6564.0594;15937.0386
2025060.0;6561.0498;15933.7341;6558.462;15937.2586;6559.037;15935.3779;6561.3133;15935.2187;6556.5926;15940.8328;6559.8837;15935.8387;6562.6145;15934.1207;6565.7783;15933.2251;6563.9212;15935.0036
2025080.0;6561.0048;15931.5431;6558.4561;15935.0745;6558.9805;15933.1566;6561.2127;15933.0061;6556.461;15938.6966;6559.8167;15933.7077;6562.5415;15932.0933;6565.7647;15931.1483;6563.8449;15932.9661
2025100.0;6560.9494;15929.3624;6558.4798;15932.9039;6558.9642;15930.9412;6561.1151;15930.815;6556.3712;15936.5494;6559.7643;15931.5767;6562.5081;15930.0452;6565.7384;15929.087;6563.8106;15930.927
2025120.0;6560.8824;15927.1929;6558.5222;15930.7429;6558.9781;15928.7348;6561.0145;15928.6424;6556.3129;15934.3911;6559.7094;15929.4458;6562.5052;15927.965;6565.6956;15927.0321;6563.7996;15928.8851
2025140.0;6560.7998;15925.0379;6558.5718;15928.5816;6559.0055;15926.5387;6560.903;15926.4809;6556.2753;15932.2253;6559.6363;15927.3148;6562.5157;15925.8529;6565.6319;15924.9712;6563.7942;15926.8372
2025160.0;6560.6929;15922.9036;6558.6162;15926.41;6559.0266;15924.3499;6560.7669;15924.3197;6556.2464;15930.0595;6559.5335;15925.1838;6562.5152;15923.7224;6565.5402;15922.8903;6563.7761;15924.7782
2025180.0;6560.5499;15920.7928;6558.6398;15924.2233;6559.022;15922.1611;6560.5848;15922.1481;6556.2127;15927.901;6559.3962;15923.0526;6562.4763;15921.591;6565.4097;15920.7776;6563.7278;15922.7028
2025200.0;6560.3604;15918.6982;6558.6222;15922.0243;6558.9757;15919.9651;6560.333;15919.9605;6556.1623;15925.7528;6559.2241;15920.9206;6562.375;15919.4693;6565.227;15918.6286;6563.6375;15920.6089
2025220.0;6560.1188;15916.6037;6558.5393;15919.8236;6558.8764;15917.7586;6559.9958;15917.7574;6556.0861;15923.6133;6559.0164;15918.7865;6562.1947;15917.3563;6564.9812;15916.4485;6563.4997;15918.4986
2025240.0;6559.8232;15914.4929;6558.3663;15917.6386;6558.7182;15915.5437;6559.5727;15915.5433;6555.975;15921.479;6558.7686;15916.6481;6561.9263;15915.2442;6564.6647;15914.2505;6563.3084;15916.3772
2025260.0;6559.4709;15912.3588;6558.084;15915.4884;6558.4984;15913.3244;6559.0769;15913.3232;6555.8154;15919.3472;6558.4734;15914.5032;6561.5666;15913.1261;6564.2714;15912.051;6563.0514;15914.2497
2025280.0;6559.057;15910.2048;6557.6872;15913.3847;6558.2164;15911.1051;6558.5252;15911.1004;6555.5907;15917.217;6558.1237;15912.3531;6561.1168;15910.9995;6563.794;15909.864;6562.7129;15912.1202
2025300.0;6558.5785;15908.0386;6557.1888;15911.3211;6557.8728;15908.8902;6557.9271;15908.8759;6555.2898;15915.0891;6557.7147;15910.2044;6560.5823;15908.8641;6563.2265;15907.6969;6562.2827;15909.9914
2025320.0;6558.0391;15905.8663;6556.6166;15909.2739;6557.47;15906.684;6557.2815;15906.6488;6554.9129;15912.9657;6557.2447;15908.0651;6559.9727;15906.72;6562.5724;15905.5465;6561.7624;15907.8673
2025340.0;6557.4485;15903.6928;6556.0005;15907.216;6557.0131;15904.489;6556.5808;15904.4156;6554.467;15910.8488;6556.7139;15905.9381;6559.3016;15904.5692;6561.8498;15903.402;6561.1641;15905.7544
2025360.0;6556.819;15901.5229;6555.3591;15905.1332;6556.5104;15902.3035;6555.819;15902.1713;6553.959;15908.7379;6556.1245;15903.8162;6558.5835;15902.4171;6561.0856;15901.2544;6560.5043;15903.6609
2025380.0;6556.1604;15899.3596;6554.6941;15903.0265;6555.9712;15900.1232;6554.9979;15899.9105;6553.392;15906.6278;6555.4801;15901.6868;6557.8323;15900.2693;6560.3039;15899.1034;6559.8004;15901.5925
2025400.0;6555.4782;15897.2007;6553.9951;15900.9043;6555.4018;15897.9443;6554.1273;15897.6315;6552.7684;15904.5126;6554.7853;15899.5412;6557.0595;15898.1251;6559.518;15896.9554;6559.0698;15899.5449
2025420.0;6554.7718;15895.0371;6553.2473;15898.773;6554.8029;15895.7655;6553.2225;15895.337;6552.0901;15902.3914;6554.0437;15897.3795;6556.2717;15895.9756;6558.7307;15894.8178;6558.3278;15897.5016
2025440.0;6554.0334;15892.8572;6552.4408;15896.6341;6554.169;15893.5852;6552.2991;15893.0338;6551.3589;15900.2693;6553.2592;15895.2083;6555.468;15893.8114;6557.9384;15892.6931;6557.5824;15895.4398
2025460.0;6553.25;15890.6526;6551.5742;15894.4855;6553.4916;15891.3997;6551.3705;15890.7306;6550.5763;15898.1506;6552.4367;15893.0334;6554.64;15891.631;6557.1339;15890.577;6556.831;15893.3412
2025480.0;6552.4097;15888.423;6550.6558;15892.325;6552.7628;15889.2044;6550.4472;15888.4356;6549.7473;15896.031;6551.5828;15890.8568;6553.7759;15889.4416;6556.3056;15888.4591;6556.0631;15891.2003
