Time(sentisec);X_A(m);Y_A(m);X_M(m);Y_M(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m)
3966420.0;2991.1841;1847.8002;2992.5919;1848.8911;3006.7414;1859.4839;2999.1015;1853.512;2986.425;1839.2225;2998.696;1850.6756;2977.8732;1845.542;2998.4027;1859.1905;2997.5087;1845.0786;2990.9621;1849.3475
3966440.0;2991.1761;1847.7019;2992.5675;1848.8842;3006.7138;1859.4843;2999.0686;1853.3597;2986.4749;1839.2686;2998.6671;1850.7459;2977.85;1845.5466;2998.4342;1859.2101;2997.5361;1844.8676;2990.9939;1849.4271
3966460.0;2991.1485;1847.5758;2992.5431;1848.8773;3006.6655;1859.4511;2999.0089;1853.1801;2986.5203;1839.3235;2998.6356;1850.8369;2977.8314;1845.5586;2998.4661;1859.2267;2997.5464;1844.5152;2991.0155;1849.5128
3966480.0;2991.1057;1847.4338;2992.5187;1848.8705;3006.6053;1859.398;2998.9404;1853.0073;2986.5637;1839.3858;2998.5968;1850.9555;2977.8154;1845.5822;2998.4955;1859.2376;2997.5107;1844.0844;2991.0219;1849.5951
3966500.0;2991.0506;1847.2821;2992.4943;1848.8636;3006.5394;1859.3357;2998.8859;1852.8764;2986.6073;1839.4496;2998.5481;1851.0988;2977.7979;1845.6186;2998.5223;1859.2399;2997.418;1843.6543;2991.0206;1849.6694
3966520.0;2990.9861;1847.1236;2992.4699;1848.8567;3006.4713;1859.27;2998.8618;1852.8086;2986.6515;1839.5058;2998.4935;1851.246;2977.7781;1845.6623;2998.5503;1859.2308;2997.2865;1843.287;2991.0237;1849.7379
3966540.0;2990.9153;1846.9616;2992.4455;1848.8499;3006.4027;1859.2034;2998.8716;1852.8025;2986.6954;1839.5472;2998.4409;1851.365;2977.7612;1845.7015;2998.5858;1859.2083;2997.1526;1843.0151;2991.0408;1849.8067
3966560.0;2990.8413;1846.798;2992.4211;1848.843;3006.3339;1859.1365;2998.9058;1852.8363;2986.7357;1839.5721;2998.3953;1851.4298;2977.7554;1845.7246;2998.6328;1859.1732;2997.0513;1842.8494;2991.0742;1849.8853
3966580.0;2990.7634;1846.6277;2992.3968;1848.8361;3006.265;1859.0697;2998.9482;1852.8815;2986.769;1839.583;2998.3569;1851.4358;2977.7657;1845.7266;2998.692;1859.131;2997.0005;1842.7864;2991.1171;1849.9856
3966600.0;2990.6779;1846.4415;2992.3724;1848.8293;3006.1962;1859.0029;2998.9842;1852.9173;2986.7932;1839.5834;2998.3251;1851.4016;2977.7907;1845.7101;2998.7624;1859.0905;2996.9996;1842.8033;2991.1572;1850.1184
3966620.0;2990.5832;1846.2375;2992.348;1848.8224;3006.1274;1858.9361;2999.0072;1852.9365;2986.8063;1839.5737;2998.3008;1851.3554;2977.8249;1845.6809;2998.8419;1859.058;2997.0338;1842.8612;2991.1838;1850.2858
3966640.0;2990.4826;1846.0267;2992.3236;1848.8156;3006.0586;1858.8693;2999.0187;1852.9403;2986.8062;1839.5522;2998.2851;1851.3173;2977.8622;1845.6449;2998.9278;1859.0344;2997.0816;1842.9232;2991.1968;1850.4782
3966660.0;2990.3817;1845.8225;2992.2992;1848.8087;3005.9898;1858.8024;2999.0229;1852.9301;2986.7914;1839.5178;2998.2769;1851.2907;2977.8982;1845.6078;2999.0174;1859.0169;2997.1231;1842.9744;2991.2086;1850.6781
3966680.0;2990.2834;1845.6292;2992.2748;1848.8018;3005.921;1858.7356;2999.0232;1852.9063;2986.7641;1839.4725;2998.2735;1851.2649;2977.9308;1845.5755;2999.1087;1859.0024;2997.1457;1843.0193;2991.2355;1850.8705
3966700.0;2990.1873;1845.4429;2992.2504;1848.795;3005.8522;1858.6688;2999.0201;1852.8704;2986.7291;1839.4207;2998.2724;1851.2208;2977.9591;1845.5499;2999.2005;1858.9891;2997.1461;1843.0663;2991.2894;1851.0488
3966720.0;2990.0929;1845.2645;2992.226;1848.7881;3005.7834;1858.602;2999.012;1852.8297;2986.6915;1839.3674;2998.2722;1851.1407;2977.9826;1845.5271;2999.2925;1858.9761;2997.1285;1843.1176;2991.375;1851.2158
3966740.0;2990.002;1845.1022;2992.2016;1848.7812;3005.7146;1858.5351;2998.9968;1852.7937;2986.6552;1839.3178;2998.2722;1851.0203;2977.9993;1845.5002;2999.3845;1858.9631;2997.1007;1843.1702;2991.4929;1851.3778
3966760.0;2989.9168;1844.9646;2992.1772;1848.7744;3005.6458;1858.4683;2998.9749;1852.7683;2986.6213;1839.2751;2998.2724;1850.8766;2978.0085;1845.4665;2999.4765;1858.9502;2997.0709;1843.2194;2991.6371;1851.534
3966780.0;2989.8397;1844.8541;2992.1528;1848.7675;3005.577;1858.4015;2998.9507;1852.7516;2986.5887;1839.2384;2998.2735;1850.7416;2978.0141;1845.4303;2999.5685;1858.9372;2997.0457;1843.2621;2991.791;1851.6705
3966800.0;2989.7738;1844.7689;2992.1284;1848.7607;3005.5081;1858.3347;2998.9309;1852.7345;2986.5543;1839.2023;2998.2769;1850.6421;2978.0222;1845.4014;2999.6605;1858.9242;2997.0274;1843.2992;2991.9302;1851.7651
3966820.0;2989.7225;1844.7089;2992.104;1848.7538;3005.4393;1858.2679;2998.9202;1852.7026;2986.5156;1839.1635;2998.2851;1850.5852;2978.0358;1845.3872;2999.7525;1858.9113;2997.0145;1843.3363;2992.0365;1851.8011
3966840.0;2989.6902;1844.6773;2992.0796;1848.7469;3005.3705;1858.201;2998.918;1852.6404;2986.4704;1839.1243;2998.3002;1850.5628;2978.0519;1845.389;2999.8445;1858.8983;2997.0055;1843.3772;2992.1068;1851.7766
3966860.0;2989.6812;1844.6773;2992.0552;1848.7401;3005.3017;1858.1342;2998.9179;1852.5373;2986.4159;1839.089;2998.3224;1850.5633;2978.0677;1845.4012;2999.9365;1858.8853;2997.0017;1843.4195;2992.1483;1851.6998
3966880.0;2989.6989;1844.7085;2992.0308;1848.7332;3005.2329;1858.0674;2998.9105;1852.3956;2986.349;1839.0581;2998.3474;1850.5779;2978.084;1845.4144;3000.0285;1858.8723;2997.0086;1843.4558;2992.1682;1851.5818
3966900.0;2989.743;1844.7669;2992.0065;1848.7263;3005.1641;1858.0006;2998.8884;1852.2314;2986.2689;1839.0295;2998.3695;1850.5981;2978.1059;1845.4198;3000.1205;1858.8594;2997.0301;1843.4805;2992.1699;1851.4321
3966920.0;2989.8106;1844.8473;2991.9821;1848.7195;3005.0953;1857.9338;2998.8499;1852.065;2986.1788;1839.0064;2998.3847;1850.6126;2978.1384;1845.414;3000.2125;1858.8464;2997.0614;1843.4942;2992.1561;1851.259
