Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m)
2007440.0;6490.9503;16028.8807;6490.1443;16033.7785;6483.4917;16025.3755;6488.5879;16025.8271;6481.2998;16037.2897;6485.5008;16034.7638;6486.0852;16030.5757;6484.1765;16036.3184;6484.4988;16033.9013
2007460.0;6490.9178;16028.8486;6490.1556;16033.7984;6483.1626;16025.5719;6488.0676;16026.5845;6481.3665;16037.3403;6485.3373;16035.1056;6486.0282;16030.3457;6485.1148;16034.6123;6484.5581;16033.8737
2007480.0;6490.8788;16028.8081;6490.1536;16033.8041;6482.9346;16025.9249;6487.7513;16027.1065;6481.4268;16037.3925;6485.1754;16035.4453;6486.0141;16030.1703;6486.0082;16033.0667;6484.6103;16033.8688
2007500.0;6490.8392;16028.7606;6490.1558;16033.787;6482.7992;16026.28;6487.6153;16027.4058;6481.4658;16037.4577;6485.0128;16035.7872;6486.0268;16030.0355;6486.7379;16031.8683;6484.6542;16033.8958
2007520.0;6490.8061;16028.7102;6490.1826;16033.7353;6482.7389;16026.5162;6487.5913;16027.5561;6481.4727;16037.5579;6484.8425;16036.1416;6486.0534;16029.9204;6487.2115;16031.1122;6484.6885;16033.9516
2007540.0;6490.7835;16028.6632;6490.2421;16033.6485;6482.7336;16026.6183;6487.6128;16027.6398;6481.4472;16037.7143;6484.6579;16036.517;6486.0824;16029.8042;6487.395;16030.7863;6484.7099;16034.0259
2007560.0;6490.7688;16028.6262;6490.3233;16033.5472;6482.7642;16026.6738;6487.6343;16027.722;6481.3991;16037.9286;6484.4563;16036.9164;6486.1033;16029.6754;6487.3252;16030.8019;6484.7135;16034.1116
2007580.0;6490.7551;16028.6021;6490.4055;16033.4615;6482.8162;16026.8255;6487.6309;16027.8398;6481.3418;16038.1821;6484.2429;16037.3306;6486.1119;16029.5374;6487.0808;16031.0545;6484.6941;16034.2112
2007600.0;6490.7352;16028.5897;6490.4747;16033.4081;6482.8758;16027.1879;6487.5961;16027.9998;6481.2824;16038.4517;6484.029;16037.7448;6486.1072;16029.3976;6486.7697;16031.3989;6484.6486;16034.3307
2007620.0;6490.7046;16028.5847;6490.5323;16033.3797;6482.9212;16027.7915;6487.5363;16028.1879;6481.2182;16038.7403;6483.828;16038.1437;6486.0892;16029.2609;6486.4719;16031.7146;6484.579;16034.4681
2007640.0;6490.6641;16028.5827;6490.5913;16033.3528;6482.9207;16028.5574;6487.4623;16028.3869;6481.1405;16039.0849;6483.6529;16038.5085;6486.0603;16029.1285;6486.2298;16031.9247;6484.492;16034.6106
2007660.0;6490.6188;16028.5806;6490.665;16033.3047;6482.8443;16029.3228;6487.3806;16028.5909;6481.0462;16039.5214;6483.5157;16038.809;6486.0275;16029.0006;6486.0624;16032.0057;6484.3979;16034.7424
2007680.0;6490.5752;16028.5752;6490.7598;16033.223;6482.678;16029.898;6487.2896;16028.8061;6480.947;16040.0281;6483.4254;16039.011;6486.0002;16028.8768;6485.9759;16031.9819;6484.3003;16034.8544
2007700.0;6490.5365;16028.5616;6490.8731;16033.1057;6482.4321;16030.121;6487.1812;16029.0429;6480.8658;16040.5062;6483.3785;16039.1068;6485.9835;16028.7549;6485.9568;16031.9071;6484.192;16034.9438
2007720.0;6490.5018;16028.5337;6490.9981;16032.9535;6482.1369;16029.921;6487.0472;16029.3059;6480.824;16040.8352;6483.3545;16039.136;6485.9763;16028.634;6485.9674;16031.8278;6484.0627;16035.0079
