Time(sentisec);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m);X_M(m);Y_M(m)
5397300.0;2987.0148;1861.4029;2990.9492;1850.6299;2991.7282;1854.0484;2991.8203;1846.7479;2990.6217;1849.2025;3000.9142;1845.5448;2985.719;1854.9917;2993.0828;1842.7646;2993.0034;1851.2092
5397320.0;2986.936;1861.4488;2990.7358;1850.8152;2991.7493;1854.041;2991.7742;1846.8466;2990.6212;1849.1357;3000.9302;1845.5457;2985.6384;1854.9906;2993.1345;1842.7733;2993.0031;1851.1027
5397340.0;2986.9974;1861.3107;2990.612;1850.9196;2991.7845;1854.0232;2991.7584;1846.8901;2990.624;1849.0847;3000.9672;1845.5419;2985.553;1854.9903;2993.1658;1842.7909;2993.0031;1851.0047
5397360.0;2987.3768;1860.7616;2990.5841;1850.9573;2991.854;1854.0067;2991.7801;1846.8801;2990.631;1849.046;3001.0247;1845.5342;2985.4753;1854.9903;2993.1829;1842.8199;2993.0031;1850.9202
5397380.0;2988.2551;1859.5761;2990.6389;1850.941;2991.9799;1854.0133;2991.838;1846.832;2990.6431;1849.0117;3001.0855;1845.5323;2985.4112;1854.9903;2993.1924;1842.8593;2993.0031;1850.8485
5397400.0;2989.6546;1857.7362;2990.7564;1850.8861;2992.1676;1854.0611;2991.9175;1846.7688;2990.6587;1848.9749;3001.1168;1845.5534;2985.3593;1854.9903;2993.2028;1842.9045;2993.0034;1850.7853
5397420.0;2991.3322;1855.5613;2990.9135;1850.8126;2992.3911;1854.144;2991.9963;1846.7119;2990.6742;1848.9336;3001.0859;1845.613;2985.3149;1854.99;2993.2219;1842.9508;2993.0045;1850.727
5397440.0;2992.8844;1853.564;2991.086;1850.7331;2992.6021;1854.2314;2992.0545;1846.6736;2990.6888;1848.8881;3000.9767;1845.7179;2985.2736;1854.989;2993.2523;1842.9933;2993.0079;1850.6737
5397460.0;2994.0024;1852.1203;2991.256;1850.6495;2992.7593;1854.2933;2992.0828;1846.6575;2990.7085;1848.8385;3000.7986;1845.8624;2985.2336;1854.9857;2993.2914;1843.0258;2993.016;1850.6305
5397480.0;2994.6112;1851.2836;2991.4155;1850.5552;2992.8511;1854.3247;2992.0817;1846.6636;2990.7403;1848.7871;3000.5824;1846.0287;2985.1954;1854.9772;2993.3342;1843.0441;2993.0312;1850.6054
5397500.0;2994.8046;1850.8751;2991.5623;1850.4431;2992.8923;1854.3409;2992.0561;1846.6918;2990.7797;1848.7459;3000.3653;1846.1931;2985.1628;1854.96;2993.3763;1843.0529;2993.0533;1850.6039
5397520.0;2994.7126;1850.6797;2991.6955;1850.3101;2992.9041;1854.3546;2992.0115;1846.7388;2990.8064;1848.7369;3000.1707;1846.3353;2985.1406;1854.9324;2993.4146;1843.0715;2993.0784;1850.6242
5397540.0;2994.4517;1850.5547;2991.8165;1850.1564;2992.9016;1854.3629;2991.9535;1846.7925;2990.7984;1848.7811;2999.9994;1846.4469;2985.1307;1854.8972;2993.445;1843.1296;2993.101;1850.6578
5397560.0;2994.1364;1850.4395;2991.9332;1849.9813;2992.894;1854.3555;2991.8875;1846.8356;2990.7526;1848.8854;2999.8359;1846.5312;2985.1291;1854.8605;2993.4628;1843.2545;2993.1181;1850.6949
5397580.0;2993.8846;1850.3076;2992.0573;1849.783;2992.8873;1854.3267;2991.8174;1846.8556;2990.6902;1849.0404;2999.6662;1846.5936;2985.1286;1854.8273;2993.465;1843.4549;2993.132;1850.7354
5397600.0;2993.7554;1850.1658;2992.1987;1849.5656;2992.8858;1854.278;2991.7444;1846.854;2990.6398;1849.2277;2999.4884;1846.6361;2985.1242;1854.7958;2993.4547;1843.712;2993.1482;1850.79
5397620.0;2993.7348;1850.0292;2992.361;1849.3453;2992.8917;1854.2125;2991.6672;1846.8419;2990.6167;1849.4291;2999.3116;1846.658;2985.1161;1854.7593;2993.4412;1843.986;2993.1716;1850.871
5397640.0;2993.7661;1849.9134;2992.5509;1849.1451;2992.906;1854.1312;2991.5845;1846.8301;2990.6186;1849.6307;2999.1464;1846.6617;2985.1077;1854.7116;2993.4354;1844.2399;2993.2009;1850.9748
5397660.0;2993.7976;1849.828;2992.7765;1848.986;2992.9279;1854.0335;2991.4978;1846.823;2990.6332;1849.8223;2999.0;1846.6541;2985.1001;1854.6526;2993.4426;1844.4613;2993.2286;1851.0754
5397680.0;2993.8067;1849.7725;2993.0597;1848.8687;2992.9529;1853.9209;2991.4114;1846.8198;2990.6476;1849.9985;2998.8744;1846.6425;2985.0911;1854.5889;2993.4595;1844.6607;2993.2466;1851.1378
5397700.0;2993.7971;1849.736;2993.4315;1848.7636;2992.975;1853.7969;2991.3298;1846.8186;2990.6476;1850.1536;2998.7701;1846.628;2985.076;1854.5294;2993.4779;1844.8532;2993.2515;1851.1421
5397720.0;2993.7786;1849.7052;2993.9023;1848.6281;2992.9902;1853.668;2991.2549;1846.8182;2990.6195;1850.2752;2998.6891;1846.6031;2985.0499;1854.4814;2993.4909;1845.0459;2993.2442;1851.0921
5397740.0;2993.7606;1849.6708;2994.4071;1848.4526;2992.9983;1853.5438;2991.1847;1846.8172;2990.5573;1850.3453;2998.6384;1846.5541;2985.0099;1854.4483;2993.4954;1845.243;2993.2266;1851.0064
5397760.0;2993.7471;1849.63;2994.7948;1848.2901;2993.0017;1853.433;2991.1157;1846.8137;2990.4701;1850.354;2998.6241;1846.4675;2984.9548;1854.4293;2993.4906;1845.4598;2993.1999;1850.9044
5397780.0;2993.7415;1849.5812;2994.9176;1848.2202;2993.0028;1853.3383;2991.0447;1846.8043;2990.3799;1850.3138;2998.6444;1846.3414;2984.8846;1854.4204;2993.4768;1845.7194;2993.1661;1850.8012
5397800.0;2993.7501;1849.5221;2994.753;1848.2739;2993.0031;1853.2544;2990.971;1846.7836;2990.3081;1850.256;2998.683;1846.192;2984.7996;1854.417;2993.4564;1846.0334;2993.1286;1850.7057
5397820.0;2993.7798;1849.4527;2994.4345;1848.3978;2993.0028;1853.1733;2990.8972;1846.7464;2990.2619;1850.2111;2998.7144;1846.0482;2984.7015;1854.416;2993.4361;1846.383;2993.0913;1850.6227
5397840.0;2993.8332;1849.3775;2994.1569;1848.495;2993.0017;1853.0904;2990.8279;1846.6894;2990.2319;1850.1946;2998.7169;1845.9342;2984.5944;1854.4158;2993.4266;1846.7248;2993.0581;1850.5518
5397860.0;2993.906;1849.3034;2994.0611;1848.4886;2992.9983;1853.0048;2990.7691;1846.6128;2990.2029;1850.2074;2998.6828;1845.8535;2984.4842;1854.4158;2993.4383;1847.0177;2993.0329;1850.4922
5397880.0;2993.9882;1849.2355;2994.1803;1848.3565;2992.9899;1852.9156;2990.7257;1846.5192;2990.1646;1850.2437;2998.6185;1845.7914;2984.3766;1854.4158;2993.4763;1847.2484;2993.0177;1850.4467
5397900.0;2994.0683;1849.1761;2994.451;1848.1332;2992.9736;1852.8208;2990.6993;1846.4144;2990.1177;1850.2952;2998.5372;1845.7306;2984.2731;1854.4146;2993.5376;1847.4314;2993.0126;1850.4223
5397920.0;2994.1377;1849.1287;2994.7686;1847.8835;2992.9481;1852.7177;2990.6856;1846.3076;2990.0719;1850.3535;2998.4509;1845.6635;2984.1702;1854.4103;2993.6122;1847.5896;2993.0174;1850.4253
5397940.0;2994.1932;1849.0976;2995.0378;1847.6723;2992.9147;1852.6037;2990.6763;1846.2088;2990.038;1850.4113;2998.3649;1845.5912;2984.0611;1854.3978;2993.6879;1847.736;2993.0315;1850.4555
5397960.0;2994.236;1849.084;2995.2162;1847.5366;2992.876;1852.4739;2990.6648;1846.1227;2990.0228;1850.4631;2998.2765;1845.5163;2983.9397;1854.3694;2993.7567;1847.8694;2993.0533;1850.5028
5397980.0;2994.2709;1849.0821;2995.311;1847.4812;2992.8342;1852.3221;2990.6498;1846.0463;2990.0268;1850.5063;2998.1772;1845.4367;2983.8072;1854.3209;2993.8152;1847.9849;2993.0784;1850.5477
5398000.0;2994.3014;1849.0831;2995.3525;1847.4904;2992.7895;1852.1469;2990.634;1845.9728;2990.0455;1850.5429;2998.0565;1845.3449;2983.6742;1854.2594;2993.862;1848.0836;2993.1005;1850.5664
5398020.0;2994.3267;1849.0821;2995.3699;1847.5433;2992.7407;1851.9562;2990.6184;1845.9001;2990.0725;1850.5793;2997.9078;1845.2299;2983.5574;1854.205;2993.8938;1848.1734;2993.1157;1850.5407
5398040.0;2994.3418;1849.0835;2995.3889;1847.6192;2992.6868;1851.768;2990.6003;1845.8346;2990.1028;1850.6219;2997.7362;1845.0816;2983.4698;1854.1767;2993.908;1848.2616;2993.1235;1850.467
5398060.0;2994.3421;1849.0956;2995.435;1847.6996;2992.6303;1851.5998;2990.5748;1845.7867;2990.1343;1850.6729;2997.5612;1844.8959;2983.4117;1854.1772;2993.9065;1848.348;2993.1258;1850.3564
5398080.0;2994.3281;1849.1212;2995.5333;1847.7645;2992.577;1851.46;2990.5376;1845.7691;2990.1682;1850.7312;2997.4106;1844.6804;2983.3737;1854.1927;2993.8949;1848.427;2993.1235;1850.2256
5398100.0;2994.3067;1849.1548;2995.7024;1847.7901;2992.5325;1851.347;2990.486;1845.7941;2990.2061;1850.795;2997.3053;1844.4556;2983.3475;1854.2059;2993.8781;1848.4958;2993.1159;1850.0849
5398120.0;2994.2868;1849.1863;2995.942;1847.7589;2992.4986;1851.2572;2990.4183;1845.8699;2990.249;1850.8628;2997.245;1844.2502;2983.3342;1854.2062;2993.8574;1848.5559;2993.1021;1849.9365
5398140.0;2994.2753;1849.2079;2996.2275;1847.6792;2992.4744;1851.1918;2990.3348;1845.9912;2990.2984;1850.9298;2997.2099;1844.0883;2983.3423;1854.1909;2993.834;1848.6091;2993.0848;1849.7809
5398160.0;2994.2756;1849.2183;2996.5166;1847.5925;2992.4587;1851.1568;2990.2401;1846.1362;2990.356;1850.9887;2997.1764;1843.9788;2983.3778;1854.1638;2993.8127;1848.6533;2993.0726;1849.6246
5398180.0;2994.2893;1849.2179;2996.7755;1847.5499;2992.4519;1851.1579;2990.1418;1846.2768;2990.4222;1851.0321;2997.1335;1843.9139;2983.4342;1854.1323;2993.803;1848.6837;2993.0786;1849.4792
5398200.0;2994.3173;1849.206;2996.9994;1847.5731;2992.4538;1851.1955;2990.0473;1846.3954;2990.494;1851.0583;2997.0832;1843.8759;2983.4947;1854.1078;2993.8148;1848.6939;2993.1136;1849.3551
5398220.0;2994.3612;1849.1795;2997.2077;1847.6453;2992.4636;1851.2639;2989.9611;1846.491;2990.5656;1851.0697;2997.0313;1843.8468;2983.5429;1854.1001;2993.8532;1848.6791;2993.181;1849.2561
5398240.0;2994.4252;1849.136;2997.4191;1847.7345;2992.4803;1851.3525;2989.8858;1846.5732;2990.6307;1851.0723;2996.9776;1843.8154;2983.5718;1854.1149;2993.9157;1848.6406;2993.2744;1849.1759
5398260.0;2994.5128;1849.0788;2997.6362;1847.8207;2992.5023;1851.4484;2989.8247;1846.6537;2990.6852;1851.073;2996.9167;1843.7794;2983.5841;1854.1534;2993.9927;1848.5901;2993.3821;1849.1055
5398280.0;2994.6191;1849.0168;2997.8466;1847.8978;2992.5259;1851.5406;2989.7792;1846.7423;2990.7273;1851.0802;2996.8442;1843.7434;2983.5861;1854.2131;2994.0713;1848.5442;2993.4876;1849.0331
5398300.0;2994.7256;1848.9611;2998.0337;1847.9636;2992.5447;1851.6239;2989.7462;1846.8422;2990.7575;1851.1002;2996.7607;1843.7127;2983.5837;1854.2886;2994.1405;1848.5151;2993.569;1848.9439
5398320.0;2994.8077;1848.9197;2998.1829;1848.0148;2992.5504;1851.7002;2989.7185;1846.9506;2990.7795;1851.1336;2996.6707;1843.688;2983.5832;1854.3738;2994.1902;1848.5071;2993.6018;1848.8232
5398340.0;2994.8506;1848.8945;2998.2823;1848.0573;2992.5383;1851.7743;2989.6897;1847.0586;2990.8002;1851.1724;2996.5784;1843.6652;2983.5901;1854.4635;2994.2079;1848.5235;2993.5714;1848.6665
5398360.0;2994.8563;1848.8816;2998.3169;1848.1099;2992.5124;1851.8504;2989.6583;1847.1571;2990.8291;1851.2041;2996.4855;1843.6407;2983.6077;1854.5521;2994.1781;1848.5705;2993.4879;1848.484
5398380.0;2994.8384;1848.8751;2998.2626;1848.195;2992.4841;1851.9301;2989.6282;1847.2374;2990.8741;1851.2142;2996.3933;1843.6151;2983.6364;1854.6327;2994.0911;1848.654;2993.3839;1848.2951
5398400.0;2994.8119;1848.8686;2998.0932;1848.323;2992.4662;1852.0127;2989.6064;1847.2926;2990.9369;1851.1916;2996.3043;1843.5897;2983.6805;1854.6937;2993.9568;1848.7712;2993.291;1848.1201
5398420.0;2994.7873;1848.8562;2997.8004;1848.4849;2992.4636;1852.0955;2989.6048;1847.3174;2991.0124;1851.1342;2996.2213;1843.5608;2983.7497;1854.7202;2993.8062;1848.9087;2993.2183;1847.9796
5398440.0;2994.7676;1848.8342;2997.4132;1848.6626;2992.4715;1852.1751;2989.6363;1847.3112;2991.0901;1851.0548;2996.145;1843.5206;2983.8514;1854.7013;2993.6764;1849.0521;2993.1531;1847.8949
