Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m)
2061420.0;6665.8698;16361.1378;6686.4213;16334.8193;6690.3725;16334.5291;6683.2374;16332.0226;7162.0476;16596.7025;6686.61;16333.8326;6683.7037;16336.4978;6680.0091;16343.7398;6679.6988;16324.1839
2061440.0;6665.9464;16359.4929;6685.939;16332.1659;6690.2648;16331.8559;6682.8815;16329.3564;7164.6554;16596.5949;6686.3766;16331.2695;6683.2616;16333.8282;6679.6493;16341.2501;6679.9416;16322.1016
2061460.0;6665.9882;16357.4375;6685.4066;16329.5195;6690.1435;16329.1872;6682.4798;16326.6808;7167.24;16596.4591;6686.158;16328.6996;6682.8059;16331.1628;6679.2814;16338.7618;6680.1716;16320.0177
2061480.0;6665.9702;16355.0242;6684.8448;16326.8676;6690.0184;16326.5147;6682.0451;16323.9973;7169.7993;16596.2887;6685.9606;16326.1088;6682.3535;16328.4963;6678.9199;16336.2077;6680.3755;16317.9323
2061500.0;6665.8866;16352.379;6684.2793;16324.1979;6689.906;16323.8263;6681.5963;16321.3068;7172.3364;16596.0846;6685.7879;16323.4862;6681.9145;16325.8262;6678.5826;16333.523;6680.5375;16315.8452
2061520.0;6665.7657;16349.6369;6683.7371;16321.5034;6689.8206;16321.1129;6681.1563;16318.6069;7174.8589;16595.8539;6685.6371;16320.8277;6681.4971;16323.1438;6678.2804;16330.6801;6680.6449;16313.7541
2061540.0;6665.6594;16346.8701;6683.2437;16318.7841;6689.764;16318.3743;6680.7458;16315.893;7177.3755;16595.6082;6685.4975;16318.1373;6681.1131;16320.4322;6678.0092;16327.7086;6680.6924;16311.6517
2061560.0;6665.6147;16344.0666;6682.8215;16316.0424;6689.7258;16315.6181;6680.3785;16313.1607;7179.8952;16595.3614;6685.3486;16315.4261;6680.7756;16317.6742;6677.7521;16324.6891;6680.683;16309.5283
2061580.0;6665.6484;16341.2118;6682.4859;16313.2791;6689.6914;16312.8556;6680.0601;16310.4101;7182.429;16595.126;6685.1624;16312.7081;6680.4919;16314.8612;6677.4918;16321.7183;6680.6246;16307.3767
2061600.0;6665.743;16338.2883;6682.2427;16310.4959;6689.6509;16310.098;6679.7922;16307.6442;7184.9896;16594.9117;6684.9118;16309.9949;6680.2611;16311.9962;6677.2234;16318.858;6680.5276;16305.1953
2061620.0;6665.8584;16335.3268;6682.0872;16307.6989;6689.6008;16307.3531;6679.5763;16304.868;7187.5869;16594.7249;6684.5815;16307.292;6680.0777;16309.0915;6676.9595;16316.1048;6680.4027;16302.9873
2061640.0;6665.9567;16332.382;6682.0105;16304.8963;6689.5408;16304.6237;6679.4158;16302.0841;7190.2212;16594.572;6684.1755;16304.6;6679.9374;16306.1649;6676.7216;16313.4078;6680.2615;16300.7565
2061660.0;6666.0255;16329.4967;6682.0039;16302.0926;6689.4695;16301.9052;6679.3159;16299.2919;7192.8834;16594.4598;6683.7146;16301.9183;6679.8382;16303.2355;6676.5262;16310.7134;6680.1152;16298.5071
2061680.0;6666.0849;16326.6842;6682.0606;16299.2864;6689.383;16299.1875;6679.2816;16296.4888;7195.5638;16594.3937;6683.2272;16299.2476;6679.7791;16300.3202;6676.3761;16307.9991;6679.9717;16296.2426
2061700.0;6666.1772;16323.9293;6682.1721;16296.4746;6689.2772;16296.4607;6679.3145;16293.6747;7198.2619;16594.3781;6682.7387;16296.588;6679.7575;16297.4294;6676.2635;16305.2698;6679.8348;16293.9653
2061720.0;6666.3381;16321.2018;6682.3278;16293.6574;6689.1529;16293.7204;6679.4105;16290.853;7200.9873;16594.4196;6682.2695;16293.936;6679.7703;16294.5652;6676.1763;16302.5382;6679.7034;16291.6722
2061740.0;6666.565;16318.4767;6682.5146;16290.8395;6689.0165;16290.9699;6679.56;16288.0287;7203.751;16594.528;6681.8377;16291.2839;6679.814;16291.7218;6676.1014;16299.8124;6679.575;16289.3551
2061760.0;6666.8042;16315.7542;6682.7169;16288.0248;6688.876;16288.2171;6679.7512;16285.2043;7206.5567;16594.7102;6681.4594;16288.6248;6679.8844;16288.8905;6676.0269;16297.0944;6679.4464;16287.0048
2061780.0;6666.9701;16313.0624;6682.9153;16285.2143;6688.7345;16285.4687;6679.971;16282.3801;7209.3978;16594.9615;6681.1481;16285.9561;6679.9743;16286.0658;6675.9453;16294.3853;6679.3136;16284.615
2061800.0;6666.9916;16310.4323;6683.0874;16282.4082;6688.5882;16282.725;6680.2071;16279.5586;7212.2623;16595.263;6680.9087;16283.2813;6680.0719;16283.2487;6675.8576;16291.6857;6679.1716;16282.1826
2061820.0;6666.8506;16307.8705;6683.2107;16279.6115;6688.4285;16279.9805;6680.4481;16276.7448;7215.1391;16595.5899;6680.7339;16280.6072;6680.1592;16280.4443;6675.7713;16288.9941;6679.0139;16279.7063
2061840.0;6666.5813;16305.3529;6683.2661;16276.8342;6688.2459;16277.2287;6680.6831;16273.9424;7218.0203;16595.9218;6680.6021;16277.9421;6680.2105;16277.6579;6675.6925;16286.3048;6678.8341;16277.1885
2061860.0;6666.2394;16302.8336;6683.2398;16274.0856;6688.0316;16274.4674;6680.8992;16271.1512;7220.8998;16596.2477;6680.4802;16275.2925;6680.1942;16274.8941;6675.6174;16283.6102;6678.6271;16274.6372
2061880.0;6665.8643;16300.2598;6683.1226;16271.3686;6687.7764;16271.7003;6681.0806;16268.3683;7223.7707;16596.562;6680.331;16272.6612;6680.0809;16272.1579;6675.5293;16280.9054;6678.3878;16272.0661
2061900.0;6665.458;16297.5936;6682.9102;16268.6799;6687.4691;16268.9356;6681.2088;16265.5926;7226.6236;16596.8565;6680.1208;16270.0462;6679.8528;16269.4541;6675.3992;16278.1939;6678.1098;16269.4915
2061920.0;6664.9869;16294.839;6682.6031;16266.0128;6687.0967;16266.1849;6681.265;16262.8267;7229.448;16597.1167;6679.8221;16267.4429;6679.5092;16266.7853;6675.1899;16275.4873;6677.7808;16266.9304
2061940.0;6664.4013;16292.0499;6682.2075;16263.362;6686.645;16263.4617;6681.2313;16260.077;7232.237;16597.3261;6679.4125;16264.8471;6679.058;16264.1515;6674.8576;16272.8081;6677.3799;16264.4013
2061960.0;6663.6603;16289.3019;6681.7312;16260.7268;6686.0996;16260.7792;6681.0931;16257.3512;7234.9928;16597.4754;6678.8728;16262.2591;6678.5023;16261.5521;6674.3593;16270.1922;6676.8782;16261.9213
