Time(sentisec);X_B(m);Y_B(m);X_C(m);Y_C(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_L(m);Y_L(m);X_M(m);Y_M(m)
1468880.0;2985.3874;1921.0879;2990.221;1844.2761;3013.9356;1827.2336;2991.4033;1847.88;2990.8675;1839.8235;2996.4602;1854.9087;2996.6382;1846.9811
1468900.0;2985.7375;1919.25;2990.1286;1846.3957;3013.9425;1827.1639;2991.5944;1847.6117;2990.7734;1839.9291;2996.5501;1854.7459;2996.646;1846.9515
1468920.0;2986.0156;1917.3893;2989.976;1848.1172;3013.9396;1827.1022;2991.8053;1847.3016;2990.7373;1840.0152;2996.6144;1854.6433;2996.6696;1846.9059
1468940.0;2986.2217;1915.5409;2989.7638;1849.2125;3013.9321;1827.0338;2992.0481;1846.9458;2990.7733;1840.0917;2996.6539;1854.6134;2996.7016;1846.858
1468960.0;2986.3662;1913.7324;2989.5077;1849.6912;3013.9276;1826.9439;2992.3326;1846.5471;2990.8667;1840.1747;2996.6677;1854.6656;2996.7316;1846.8194
1468980.0;2986.4616;1911.9792;2989.2451;1849.7018;3013.9331;1826.8241;2992.6734;1846.106;2990.9732;1840.2731;2996.6536;1854.794;2996.7546;1846.7933
1469000.0;2986.5176;1910.2894;2989.0315;1849.4305;3013.9496;1826.683;2993.0798;1845.618;2991.0445;1840.3798;2996.6135;1854.9694;2996.7734;1846.7756
1469020.0;2986.5411;1908.6712;2988.9172;1849.0344;3013.9686;1826.5442;2993.5477;1845.0807;2991.0588;1840.4802;2996.5548;1855.153;2996.7959;1846.7582
1469040.0;2986.5397;1907.1381;2988.9252;1848.6067;3013.9777;1826.4316;2994.0574;1844.499;2991.0254;1840.5673;2996.4859;1855.3175;2996.832;1846.7293
1469060.0;2986.5233;1905.7027;2989.0448;1848.1833;3013.9669;1826.3591;2994.583;1843.8847;2990.966;1840.6459;2996.4108;1855.4555;2996.8889;1846.6752
1469080.0;2986.5015;1904.3663;2989.2387;1847.7798;3013.9318;1826.3328;2995.0986;1843.2573;2990.8973;1840.7256;2996.3283;1855.5715;2996.9675;1846.5914
1469100.0;2986.4765;1903.0924;2989.4581;1847.4064;3013.871;1826.3653;2995.5875;1842.6399;2990.8266;1840.8145;2996.2368;1855.6708;2997.0579;1846.4911
1469120.0;2986.4433;1901.7868;2989.6583;1847.0738;3013.7797;1826.4878;2996.0474;1842.0602;2990.7592;1840.9141;2996.1381;1855.7551;2997.1422;1846.3998
1469140.0;2986.3891;1900.236;2989.8143;1846.7617;3013.6442;1826.7505;2996.4912;1841.5431;2990.7015;1841.0206;2996.0368;1855.8227;2997.2051;1846.3355
1469160.0;2986.3006;1898.0302;2989.9286;1846.4405;3013.4477;1827.203;2996.9337;1841.1027;2990.6577;1841.1276;2995.9354;1855.875;2997.2421;1846.2994
1469180.0;2986.1786;1894.6002;2990.023;1846.0994;3013.1778;1827.8706;2997.3776;1840.7332;2990.6279;1841.2317;2995.8311;1855.9175;2997.2585;1846.2803
1469200.0;2986.0575;1889.4849;2990.1168;1845.7547;3012.8353;1828.739;2997.8123;1840.4069;2990.6101;1841.3303;2995.715;1855.9655;2997.2629;1846.2636
